acadèmico_inta_corresponding,anio,coautor_inta,doi,if,if2022,if2023,if_2023,if_5y,nombre_primer_autor,primer_autor_inta,"prmer_autor_inta_(si,_no)",q,revista,tipo_documento,titulo,titulo_revista,disciplina_final
0,2018,"Navarrete, Paola",10.3389/fmicb.2018.02248,4259,,,,4840,"Perez-Reytor, Diliana",No,,Q1,,Review,Accessory Toxins of Vibrio Pathogens and Their Role in Epithelial Disruption During Infection,FRONTIERS IN MICROBIOLOGY,microbiology
"Porras, Omar",2018,"Tobar, Nicolas; (Martinez, Jorge",10.1016/j.redox.2018.02.023,7793,,,,9038,"Hernandez, Helen",No,,Q1,,Article,Insights into the HyPer biosensor as molecular tool for monitoring cellular antioxidant capacity,REDOX BIOLOGY,biochemistry & molecular biology
0,2018,"Romero, J.",10.1016/j.aquaculture.2018.04.046,3022,,,,3256,"Figueroa, E.",No,,Q1,,Article,Sperm cryopreservation with supplementation of a-tocopherol and ascorbic acid in freezing media increase sperm function and fertility rate in Atlantic salmon (Salmo salar),AQUACULTURE,marine & freshwater biology
0,2024,"Ana Pereira, Camila Corvalan ",,,,,5.7,6,Claire E. Kim ,,No,Q1 ,,Article,"Time-specific impact of trace metals on breast density of adolescent girls in Santiago, Chile",INTERNATIONAL JOURNAL OF CANCER,oncology
0,2020,Jaime Romero,10.1016/j.anireprosci.2020.106344,2145,,,,2281,"Bravo, Williams",No,,Q2,ANIMAL REPRODUCTION SCIENCE,Article,"Effects of selection by the Percoll density gradient method on motility, mitochondrial membrane potential and fertility in a subpopulation of Atlantic salmon (Salmo salar) testicular spermatozoa",,reproductive biology - scie
"Pia de la Maza, Maria",2019,"Bunout, Daniel; Barrera, Gladys; Hirsch, Sandra",10.1016/j.nut.2018.05.031,3639,,,,4118,"Wigodski, Sabrina",No,,Q2,,Article,Sarcopenia: The need to establish different cutting points of fat-free mass for the Chilean population,NUTRITION,nutrition & dietetics
"Cambiazo, Veronica",2020,"Pulgar, Rodrigo; Ortiz-Severin, Javiera; Gonzalez, Mauricio",10.3389/fcimb.2019.00426,5293,,,,5882,Alejandro Antonio Zúñiga,No,,	Q2,FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,Article,Transcriptomic Changes of Piscirickettsia salmonis During Intracellular Growth in a Salmon Macrophage-Like Cell Line,,immunology
0,2022,C. Corvalán,10.1016/j.numecd.2022.08.018,,3.9,,,4.2,E. Martinez Steele,no,,Q2,NUTRITION METABOLISM AND CARDIOVASCULAR DISEASES,Article,Potential reductions in ultra-processed food consumption substantially improve population cardiometabolic-related dietary,,endocrinology & metabolism
"Albala, Cecilia",2018,"Lera, Lydia ; Leyton, Barbara ;Angel, Barbara",10.1371/journal.pone.0194074,2776,,,,3337,"Moreno, Ximena",No,,Q2,,Article,"Gender, nutritional status and disability-free life expectancy among older people in Santiago, Chile",PLOS ONE,multidisciplinary sciences
"Cecilia, Algarin",2022,"Patricio, Peirano; Sussanne, Reyes",10.1016/j.nicl.2022.103089,,4.2,,,5.1,"Cecilia, Algarin",Sí,,Q2,NEUROIMAGE-CLINICAL,Article,Cognitive control inhibition networks in adulthood are impaired by early iron deficiency in infancy,,neuroimaging -
